label,text
appointment,"Subject: Reminder: Dentistry Appointment on October 1st

Dear Mr. Johnson,

This is a friendly reminder of your upcoming dental appointment with Dr. Rebecca Green on October 1st at 10:00 AM.

Please confirm your attendance by replying to this email or calling us at (555) 123-4567. If you need to reschedule, kindly let us know at your earliest convenience.

Looking forward to seeing you.

Best regards,
Sarah Collins
Front Desk Coordinator
Bright Smiles Dental Clinic"
appointment,"Subject: Appointment Reminder: Car Service Dear Mr. Thompson, This is a friendly reminder of your upcoming car service appointment on Friday, November 10th, at 1:00 PM. Our technicians will perform a comprehensive inspection, oil change, and tire rotation to ensure your vehicle is in top condition. Please drop off your car at our service center at least 15 minutes before your scheduled appointment time. Best regards, AutoCare Service Center"
appointment,"Subject: Interview Schedule for Marketing Manager Position

Dear Ms. Brown,

Thank you for your interest in the Marketing Manager position at XYZ Company. We would like to schedule an interview with you.

Are you available on any of the following dates?

Monday, June 5th at 10:00 AM
Wednesday, June 7th at 2:00 PM
Friday, June 9th at 11:00 AM
Please let me know which time works best for you, and I will send a calendar invite with further details.

Best regards, John Doe HR Manager, XYZ Company"
appointment,"Subject: Confirmation of Office Hours Appointment

Dear Alex,

This email confirms your appointment during my office hours on Thursday, April 20th at 2:00 PM. We'll meet in my office, Room 302 in the Science Building.

Please come prepared with any questions or topics you'd like to discuss regarding the course material or your research project.

If you need to cancel or reschedule, please let me know as soon as possible.

Best regards, Professor Wilson"
appointment,"Subject: Property Viewing Appointment Confirmation

Dear Ms. Davis,

I'm pleased to confirm your appointment to view the property at 123 Maple Street on Saturday, June 10th at 11:00 AM.

I'll meet you at the property. Please bring a valid ID for security purposes.

If you have any questions or need to reschedule, feel free to contact me at 555-789-0123.

Looking forward to meeting you!

Best regards, Emma Thompson Real Estate Agent"
appointment,"Subject: Confirmation of Your Appointment at City Bank

Dear Mr. Thompson,

This email confirms your appointment at City Bank, Main Street Branch on Friday, August 4th at 1:30 PM to discuss mortgage options.

Please bring the following documents:

Proof of income (last 3 pay stubs)
Recent bank statements
Government-issued ID
Your appointment is with Mrs. Garcia, our mortgage specialist. If you need to reschedule, please call us at 555-135-7900.

We look forward to assisting you.

Best regards, City Bank Customer Service"
appointment,"Subject: Reminder: Parent-Teacher Conference Dear Parents, This is a reminder that the parent-teacher conference for the first quarter is scheduled for Thursday, October 5th, from 4:00 PM to 7:00 PM. This is an excellent opportunity for you to discuss your child's progress, strengths, and areas for improvement with their teachers. Please sign up for a time slot using the online portal before September 30th. Best regards, Greenville Elementary School"
appointment,"Subject: Rescheduling: Consultancy Appointment Dear Mr. Brown, I apologize for the short notice, but I need to reschedule our consultancy appointment originally scheduled for tomorrow, Wednesday, February 15th, at 3:00 PM. An urgent matter has come up that requires my attention. Would it be possible to move our meeting to Friday, February 17th, at 10:00 AM? Please let me know if this new time works for you, or if we need to find an alternative date. Thank you for your understanding. Best regards, Sarah Johnson Consultant, XYZ Consulting Firm"
appointment,"Subject: Reminder: Interview Appointment on May 8th

Dear Mr. Taylor,

We are writing to remind you of your scheduled interview for the Marketing Manager position on May 8th at 11:00 AM. The interview will take place at our headquarters, located at 789 Market Street, Conference Room B.

Please bring a copy of your resume and any relevant certificates. If you have any questions or need to make adjustments to the schedule, feel free to contact us.

Best regards,
Emma Stewart
HR Coordinator
Global Marketing Inc"
appointment,"Subject: Request for Appointment: Product Demo

Dear Ms. Williams,

I hope this email finds you well. We would like to schedule an appointment to provide a live demonstration of our new software solution that we believe will greatly benefit your company.

Please let us know your availability next week for a 1-hour session, either in person at our office or via video conference.

Thank you, and we look forward to your response.

Best regards,
David Edward
Sales Representative
Tech Innovations Ltd."
